LOCALE,KEY,ENGLISH,VALUE,CONTEXT,FIXUTURE,VALUE-UNDERSCORE,VALUE-TRANSLATABLE
en,errors.sendemail.subject,Email Subject required,Email Subject required,,"'errors.sendemail.subject':'Email Subject required',",Email Subject required,Email Subject required
en,errors.sendsms.body,SMS Body required,SMS Body required,,"'errors.sendsms.body':'SMS Body required',",SMS Body required,SMS Body required
en,errors.sendsms.recipient,SMS Recipient required,SMS Recipient required,,"'errors.sendsms.recipient':'SMS Recipient required',",SMS Recipient required,SMS Recipient required
en,errors.server.default,Server Error,Server Error,,"'errors.server.default':'Server Error',",Server Error,Server Error
en,errors.tenant.billing_contact,Billing Contact must be provided,Billing Contact must be provided,,"'errors.tenant.billing_contact':'Billing Contact must be provided',",Billing Contact must be provided,Billing Contact must be provided
en,errors.tenant.billing_contact,Billing Contact required,Billing Contact required,,"'errors.tenant.billing_contact':'Billing Contact required',",Billing Contact required,Billing Contact required
en,errors.tenant.company_code,Company Code,Company Code,,"'errors.tenant.company_code':'Company Code',",Company Code,Company Code
en,errors.tenant.company_name,Company Name must be provided,Company Name must be provided,,"'errors.tenant.company_name':'Company Name must be provided',",Company Name must be provided,Company Name must be provided
en,errors.tenant.countries,Company Code must be provided,Company Code must be provided,,"'errors.tenant.countries':'Company Code must be provided',",Company Code must be provided,Company Code must be provided
en,errors.tenant.dashboard_text,Dashboard Text must be provided,Dashboard Text must be provided,,"'errors.tenant.dashboard_text':'Dashboard Text must be provided',",Dashboard Text must be provided,Dashboard Text must be provided
en,errors.tenant.default_currency,Currency must be provided,Currency must be provided,,"'errors.tenant.default_currency':'Currency must be provided',",Currency must be provided,Currency must be provided
en,errors.tenant.implementation_contact,Implementation Contact must be provided,Implementation Contact must be provided,,"'errors.tenant.implementation_contact':'Implementation Contact must be provided',",Implementation Contact must be provided,Implementation Contact must be provided
en,errors.tenant.implementation_contact_initial,Implementation contact required,Implementation contact required,,"'errors.tenant.implementation_contact_initial':'Implementation contact required',",Implementation contact required,Implementation contact required
en,errors.ticket.assignee,Assignee must be provided,Assignee must be provided,,"'errors.ticket.assignee':'Assignee must be provided',",Assignee must be provided,Assignee must be provided
en,errors.ticket.category.top,Category Required,Category Required,,"'errors.ticket.category.top':'Category Required',",Category Required,Category Required
en,errors.ticket.categoryIssue,Issue Category Required,Issue Category Required,,"'errors.ticket.categoryIssue':'Issue Category Required',",Issue Category Required,Issue Category Required
en,errors.ticket.categorySub-Issue,Sub Issue Category Required,Sub Issue Category Required,,"'errors.ticket.categorySub-Issue':'Sub Issue Category Required',",Sub Issue Category Required,Sub Issue Category Required
en,errors.ticket.categoryTrade,Trade Category Required,Trade Category Required,,"'errors.ticket.categoryTrade':'Trade Category Required',",Trade Category Required,Trade Category Required
en,errors.ticket.location,Location must be provided,Location must be provided,,"'errors.ticket.location':'Location must be provided',",Location must be provided,Location must be provided
en,errors.ticket.priority,Priority must be provided,Priority must be provided,,"'errors.ticket.priority':'Priority must be provided',",Priority must be provided,Priority must be provided
en,errors.ticket.request,Request must be provided,Request must be provided,,"'errors.ticket.request':'Request must be provided',",Request must be provided,Request must be provided
en,errors.ticket.request.length,Request must be at least 5 characters,Request must be at least 5 characters,,"'errors.ticket.request.length':'Request must be at least 5 characters',",Request must be at least 5 characters,Request must be at least 5 characters
en,errors.ticket.requester,Requester must be provided,Requester must be provided,,"'errors.ticket.requester':'Requester must be provided',",Requester must be provided,Requester must be provided
en,errors.ticket.status,Status must be provided,Status must be provided,,"'errors.ticket.status':'Status must be provided',",Status must be provided,Status must be provided
en,general.drop.image,Drop Image Here,Drop Image Here,,"'general.drop.image':'Drop Image Here',",Drop Image Here,Drop Image Here
en,general.and,and,and,,"'general.and':'and',",and,and
en,general.new,New,New,,"'general.new':'New',",New,New
en,general.optional,optional,optional,,"'general.optional':'optional',",optional,optional
en,grid.export,Export,Export,,"'grid.export':'Export',",Export,Export
en,grid.filter,Filter,Filter,,"'grid.filter':'Filter',",Filter,Filter
en,grid.filter.other,Filters,Filters,,"'grid.filter.other':'Filters',",Filters,Filters
en,grid.filterset_name,Name your filter,Name your filter,,"'grid.filterset_name':'Name your filter',",Name your filter,Name your filter
en,grid.no_results,No Results,No Results,,"'grid.no_results':'No Results',",No Results,No Results
en,grid.per_page,{{size}} per page,{{size}} per page,,"'grid.per_page':'{{size}} per page',",{{size_var_ per page,_size_var_ per page
en,grid.reset_all_options,Reset All Options,Reset All Options,,"'grid.reset_all_options':'Reset All Options',",Reset All Options,Reset All Options
en,grid.save_filter,Save Filter,Save Filter,,"'grid.save_filter':'Save Filter',",Save Filter,Save Filter
en,home.label.create,Create,Create,,"'home.label.create':'Create',",Create,Create
en,menu.home,Home,Home,,"'menu.home':'Home',",Home,Home
en,mobile.label.detail,Details,Details,,"'mobile.label.detail':'Details',",Details,Details
en,modules.assets.titleShort,Assets,Assets,,"'modules.assets.titleShort':'Assets',",Assets,Assets
en,modules.invoices.titleShort,Invoices,Invoices,,"'modules.invoices.titleShort':'Invoices',",Invoices,Invoices
en,modules.pms.titleShort,PM,PM,,"'modules.pms.titleShort':'PM',",PM,PM
en,modules.projects.titleShort,Projects,Projects,,"'modules.projects.titleShort':'Projects',",Projects,Projects
en,modules.purchaseOrders.titleShort,Purchase Orders,Purchase Orders,,"'modules.purchaseOrders.titleShort':'Purchase Orders',",Purchase Orders,Purchase Orders
en,modules.rfqs.titleShort,RFQs,RFQs,,"'modules.rfqs.titleShort':'RFQs',",RFQs,RFQs
en,modules.tasks.titleShort,Tasks,Tasks,,"'modules.tasks.titleShort':'Tasks',",Tasks,Tasks
en,modules.tickets.newTickets,New Tickets,New Tickets,,"'modules.tickets.newTickets':'New Tickets',",New Tickets,New Tickets
en,modules.tickets.openTickets,Open Tickets,Open Tickets,,"'modules.tickets.openTickets':'Open Tickets',",Open Tickets,Open Tickets
en,modules.tickets.titleShort,Tickets,Tickets,,"'modules.tickets.titleShort':'Tickets',",Tickets,Tickets
en,modules.workOrders.overdue,Overdue Work Orders,Overdue Work Orders,,"'modules.workOrders.overdue':'Overdue Work Orders',",Overdue Work Orders,Overdue Work Orders
en,modules.workOrders.titleShort,Work Orders,Work Orders,,"'modules.workOrders.titleShort':'Work Orders',",Work Orders,Work Orders
en,notices.offline,Your network connection is offline.,Your network connection is offline.,,"'notices.offline':'Your network connection is offline.',",Your network connection is offline.,Your network connection is offline.
en,notices.online,Your network connection is online.,Your network connection is online.,,"'notices.online':'Your network connection is online.',",Your network connection is online.,Your network connection is online.
en,power.select.select,Click to select,Click to select,,"'power.select.select':'Click to select',",Click to select,Click to select
en,role.label.permission.category,Category,Category,,"'role.label.permission.category':'Category',",Category,Category
en,role.label.permission.create,Create,Create,,"'role.label.permission.create':'Create',",Create,Create
en,role.label.permission.delete,Delete,Delete,,"'role.label.permission.delete':'Delete',",Delete,Delete
en,role.label.permission.edit,Edit,Edit,,"'role.label.permission.edit':'Edit',",Edit,Edit
en,role.label.permission.location,Location,Location,,"'role.label.permission.location':'Location',",Location,Location
en,role.label.permission.locationlevel,Location Level,Location Level,,"'role.label.permission.locationlevel':'Location Level',",Location Level,Location Level
en,role.label.permission.person,Person,Person,,"'role.label.permission.person':'Person',",Person,Person
en,role.label.permission.role,Role,Role,,"'role.label.permission.role':'Role',",Role,Role
en,role.label.permission.ticket,Ticket,Ticket,,"'role.label.permission.ticket':'Ticket',",Ticket,Ticket
en,role.label.permission.view,View,View,,"'role.label.permission.view':'View',",View,View
en,selects.loading,Loading,Loading,,"'selects.loading':'Loading',",Loading,Loading
en,selects.noMatchesMessage,No Matches,No Matches,,"'selects.noMatchesMessage':'No Matches',",No Matches,No Matches
en,selects.searchMessage,Type to search,Type to search,,"'selects.searchMessage':'Type to search',",Type to search,Type to search
en,selects.searchPlaceholder,Search,Search,,"'selects.searchPlaceholder':'Search',",Search,Search
en,tenant.billing_contact,Billing Contact,Billing Contact,,"'tenant.billing_contact':'Billing Contact',",Billing Contact,Billing Contact
en,tenant.company_code,Company Code must be provided,Company Code must be provided,,"'tenant.company_code':'Company Code must be provided',",Company Code must be provided,Company Code must be provided
en,tenant.company_name,Company Name,Company Name,,"'tenant.company_name':'Company Name',",Company Name,Company Name
en,tenant.dashboard_text,Dashboard Text,Dashboard Text,,"'tenant.dashboard_text':'Dashboard Text',",Dashboard Text,Dashboard Text
en,tenant.implementation_contact_initial,Initial Implementation Contact Name,Initial Implementation Contact Name,,"'tenant.implementation_contact_initial':'Initial Implementation Contact Name',",Initial Implementation Contact Name,Initial Implementation Contact Name
en,tenant.label.company_code,Company Code,Company Code,,"'tenant.label.company_code':'Company Code',",Company Code,Company Code
en,tenant.label.company_name,Company Name,Company Name,,"'tenant.label.company_name':'Company Name',",Company Name,Company Name
en,tenant.label.test_mode,Test Mode,Test Mode,,"'tenant.label.test_mode':'Test Mode',",Test Mode,Test Mode
en,tenant.new,New Tenant,New Tenant,,"'tenant.new':'New Tenant',",New Tenant,New Tenant
en,tenant.one,Tenant,Tenant,,"'tenant.one':'Tenant',",Tenant,Tenant
en,tenant.other,Tenants,Tenants,,"'tenant.other':'Tenants',",Tenants,Tenants
en,tenant.scid,Service Channel ID,Service Channel ID,,"'tenant.scid':'Service Channel ID',",Service Channel ID,Service Channel ID
en,tenant.search,Search Tenants,Search Tenants,,"'tenant.search':'Search Tenants',",Search Tenants,Search Tenants
en,ticket.activity_type.assignee,Assignee Changed,Assignee Changed,,"'ticket.activity_type.assignee':'Assignee Changed',",Assignee Changed,Assignee Changed
en,ticket.activity_type.attachment_add,Attachment Added,Attachment Added,,"'ticket.activity_type.attachment_add':'Attachment Added',",Attachment Added,Attachment Added
en,ticket.activity_type.categories,Change Categories,Change Categories,,"'ticket.activity_type.categories':'Change Categories',",Change Categories,Change Categories
en,ticket.activity_type.cc_add,Add CC,Add CC,,"'ticket.activity_type.cc_add':'Add CC',",Add CC,Add CC
en,ticket.activity_type.cc_remove,Remove CC,Remove CC,,"'ticket.activity_type.cc_remove':'Remove CC',",Remove CC,Remove CC
en,ticket.activity_type.comment,Comment,Comment,,"'ticket.activity_type.comment':'Comment',",Comment,Comment
en,ticket.activity_type.create,Ticket Created,Ticket Created,,"'ticket.activity_type.create':'Ticket Created',",Ticket Created,Ticket Created
en,ticket.activity_type.prority,Change Piority,Change Piority,,"'ticket.activity_type.prority':'Change Piority',",Change Piority,Change Piority
en,ticket.activity_type.status,Change Status,Change Status,,"'ticket.activity_type.status':'Change Status',",Change Status,Change Status
en,ticket.continue,Continue,Continue,,"'ticket.continue':'Continue',",Continue,Continue
en,ticket.created,{{requester}} created this ticket {{timestamp}},{{requester}} created this ticket {{timestamp}},,"'ticket.created':'{{requester}} created this ticket {{timestamp}}',",{{requester_var_ created this ticket {{timestamp_var_,_requester_var_ created this ticket _timestamp_var_
en,ticket.label.assignee-fullname,Assignee,Assignee,,"'ticket.label.assignee-fullname':'Assignee',",Assignee,Assignee
en,ticket.label.category-name,Category,Category,,"'ticket.label.category-name':'Category',",Category,Category
en,ticket.label.cc,CC,CC,,"'ticket.label.cc':'CC',",CC,CC
en,ticket.label.comment_add,Enter a comment,Enter a comment,,"'ticket.label.comment_add':'Enter a comment',",Enter a comment,Enter a comment
en,ticket.label.created,Created,Created,,"'ticket.label.created':'Created',",Created,Created
en,ticket.label.formatted_date,Created,Created,,"'ticket.label.formatted_date':'Created',",Created,Created
en,ticket.label.location-name,Location,Location,,"'ticket.label.location-name':'Location',",Location,Location
en,ticket.label.number,Ticket Number,Ticket Number,,"'ticket.label.number':'Ticket Number',",Ticket Number,Ticket Number
en,ticket.label.numberSymbol,#,#,,"'ticket.label.numberSymbol':'#',",#,#
en,ticket.label.priority-name,Priority,Priority,,"'ticket.label.priority-name':'Priority',",Priority,Priority
en,ticket.label.request,Request,Request,,"'ticket.label.request':'Request',",Request,Request
en,ticket.label.requester,Requester,Requester,,"'ticket.label.requester':'Requester',",Requester,Requester
en,ticket.label.status-name,Status,Status,,"'ticket.label.status-name':'Status',",Status,Status
en,ticket.new,New Tickets,New Tickets,,"'ticket.new':'New Tickets',",New Tickets,New Tickets
en,ticket.one,Ticket,Ticket,,"'ticket.one':'Ticket',",Ticket,Ticket
en,ticket.other,Tickets,Tickets,,"'ticket.other':'Tickets',",Tickets,Tickets
en,ticket.priority.emergency,Emergency,Emergency,,"'ticket.priority.emergency':'Emergency',",Emergency,Emergency
en,ticket.priority.high,High,High,,"'ticket.priority.high':'High',",High,High
en,ticket.priority.low,Low,Low,,"'ticket.priority.low':'Low',",Low,Low
en,ticket.priority.medium,Medium,Medium,,"'ticket.priority.medium':'Medium',",Medium,Medium
en,ticket.search,Search Tickets,Search Tickets,,"'ticket.search':'Search Tickets',",Search Tickets,Search Tickets
en,ticket.section.activity,Activity,Activity,,"'ticket.section.activity':'Activity',",Activity,Activity
en,ticket.section.details,Details,Details,,"'ticket.section.details':'Details',",Details,Details
en,ticket.section.location,Location,Location,,"'ticket.section.location':'Location',",Location,Location
en,ticket.section.request,Request,Request,,"'ticket.section.request':'Request',",Request,Request
en,ticket.status.cancelled,Cancelled,Cancelled,,"'ticket.status.cancelled':'Cancelled',",Cancelled,Cancelled
en,ticket.status.complete,Complete,Complete,,"'ticket.status.complete':'Complete',",Complete,Complete
en,ticket.status.deferred,Deferred,Deferred,,"'ticket.status.deferred':'Deferred',",Deferred,Deferred
en,ticket.status.denied,Denied,Denied,,"'ticket.status.denied':'Denied',",Denied,Denied
en,ticket.status.draft,Draft,Draft,,"'ticket.status.draft':'Draft',",Draft,Draft
en,ticket.status.in_progress,In Progress,In Progress,,"'ticket.status.in_progress':'In Progress',",In Progress,In Progress
en,ticket.status.new,New,New,,"'ticket.status.new':'New',",New,New
en,ticket.status.pending,Pending,Pending,,"'ticket.status.pending':'Pending',",Pending,Pending
en,ticket.status.solved,Solved,Solved,,"'ticket.status.solved':'Solved',",Solved,Solved
en,ticket.status.unsatisfactory,Unsatisfactory,Unsatisfactory,,"'ticket.status.unsatisfactory':'Unsatisfactory',",Unsatisfactory,Unsatisfactory
en,ticket.button.dispatch,Dispatch Work Order,Dispatch Work Order,,"'ticket.button.dispatch':'Dispatch Work Order',",Dispatch Work Order,Dispatch Work Order
en,upload.progress,Progress,Progress,,"'upload.progress':'Progress',",Progress,Progress
en,validation.invalid,Invalid,Invalid,,"'validation.invalid':'Invalid',",Invalid,Invalid
en,validation.valid,Valid,Valid,,"'validation.valid':'Valid',",Valid,Valid
