LOCALE,KEY,ENGLISH,VALUE,CONTEXT,FIXUTURE,VALUE-UNDERSCORE,VALUE-TRANSLATABLE
en,admin.category.labelCat.trade,Trade,Trade,,"'admin.category.labelCat.trade':'Trade',",Trade,Trade
en,admin.category.labelCat.type,Type,Type,,"'admin.category.labelCat.type':'Type',",Type,Type
en,admin.category.name.loss_prevention,Loss Prevention,Loss Prevention,,"'admin.category.name.loss_prevention':'Loss Prevention',",Loss Prevention,Loss Prevention
en,admin.category.name.maintenance,Maintenance,Maintenance,,"'admin.category.name.maintenance':'Maintenance',",Maintenance,Maintenance
en,admin.category.name.repair,Repair,Repair,,"'admin.category.name.repair':'Repair',",Repair,Repair
en,admin.category.new,New Category,New Category,,"'admin.category.new':'New Category',",New Category,New Category
en,admin.category.one,Category,Category,,"'admin.category.one':'Category',",Category,Category
en,admin.category.other,Categories,Categories,,"'admin.category.other':'Categories',",Categories,Categories
en,admin.category.search,Search Categories,Search Categories,,"'admin.category.search':'Search Categories',",Search Categories,Search Categories
en,admin.category.section.cost,Cost Information,Cost Information,,"'admin.category.section.cost':'Cost Information',",Cost Information,Cost Information
en,admin.category.section.details,Details,Details,,"'admin.category.section.details':'Details',",Details,Details
en,admin.category.section.other,Organization,Organization,,"'admin.category.section.other':'Organization',",Organization,Organization
en,admin.category.status.active,Active,Active,,"'admin.category.status.active':'Active',",Active,Active
en,admin.category.status.inactive,Inactive,Inactive,,"'admin.category.status.inactive':'Inactive',",Inactive,Inactive
en,admin.categoryType.one,Category Type,Category Type,,"'admin.categoryType.one':'Category Type',",Category Type,Category Type
en,admin.categoryType.other,Category Types,Category Types,,"'admin.categoryType.other':'Category Types',",Category Types,Category Types
en,admin.company.one,Company,Company,,"'admin.company.one':'Company',",Company,Company
en,admin.company.other,Companies,Companies,,"'admin.company.other':'Companies',",Companies,Companies
en,admin.contractor-assignment,Preferred Providers,Preferred Providers,,"'admin.contractor-assignment':'Preferred Providers',",Preferred Providers,Preferred Providers
en,admin.contractor.one,Contractor,Contractor,,"'admin.contractor.one':'Contractor',",Contractor,Contractor
en,admin.contractor.other,Contractors,Contractors,,"'admin.contractor.other':'Contractors',",Contractors,Contractors
en,admin.contractorautomation.one,Contractor automation,Contractor automation,,"'admin.contractorautomation.one':'Contractor automation',",Contractor automation,Contractor automation
en,admin.contractorautomation.other,Contractor automations,Contractor automations,,"'admin.contractorautomation.other':'Contractor automations',",Contractor automations,Contractor automations
en,admin.currency.eur,EUR,EUR,,"'admin.currency.eur':'EUR',",EUR,EUR
en,admin.currency.jpy,JPY,JPY,,"'admin.currency.jpy':'JPY',",JPY,JPY
en,admin.currency.usd,USD,USD,,"'admin.currency.usd':'USD',",USD,USD
en,admin.dt.requester,Requester,Requester,,"'admin.dt.requester':'Requester',",Requester,Requester
en,admin.dtd.detail,Detail,Detail,,"'admin.dtd.detail':'Detail',",Detail,Detail
en,admin.dtd.empty-detail,Select a definition to get started,Select a definition to get started,,"'admin.dtd.empty-detail':'Select a definition to get started',",Select a definition to get started,Select a definition to get started
en,admin.dtd.field.add,Add Field,Add Field,,"'admin.dtd.field.add':'Add Field',",Add Field,Add Field
en,admin.dtd.label.description,Description,Description,,"'admin.dtd.label.description':'Description',",Description,Description
en,admin.dtd.label.destination,Destination,Destination,,"'admin.dtd.label.destination':'Destination',",Destination,Destination
en,admin.dtd.label.field_type,Field Type,Field Type,,"'admin.dtd.label.field_type':'Field Type',",Field Type,Field Type
en,admin.dtd.label.field.asset_select,Asset select,Asset select,,"'admin.dtd.label.field.asset_select':'Asset select',",Asset select,Asset select
en,admin.dtd.label.field.check_in,Check in,Check in,,"'admin.dtd.label.field.check_in':'Check in',",Check in,Check in
en,admin.dtd.label.field.check_out,Check out,Check out,,"'admin.dtd.label.field.check_out':'Check out',",Check out,Check out
en,admin.dtd.label.field.checkbox,Checkbox,Checkbox,,"'admin.dtd.label.field.checkbox':'Checkbox',",Checkbox,Checkbox
en,admin.dtd.label.field.file,File,File,,"'admin.dtd.label.field.file':'File',",File,File
en,admin.dtd.label.field.number,Number,Number,,"'admin.dtd.label.field.number':'Number',",Number,Number
en,admin.dtd.label.field.select,Select,Select,,"'admin.dtd.label.field.select':'Select',",Select,Select
en,admin.dtd.label.field.text,Text,Text,,"'admin.dtd.label.field.text':'Text',",Text,Text
en,admin.dtd.label.field.textarea,Textarea,Textarea,,"'admin.dtd.label.field.textarea':'Textarea',",Textarea,Textarea
en,admin.dtd.label.field.with_options,With options,With options,,"'admin.dtd.label.field.with_options':'With options',",With options,With options
en,admin.dtd.label.fields,Fields,Fields,,"'admin.dtd.label.fields':'Fields',",Fields,Fields
en,admin.dtd.label.files,Files,Files,,"'admin.dtd.label.files':'Files',",Files,Files
en,admin.dtd.label.key,Key,Key,,"'admin.dtd.label.key':'Key',",Key,Key
en,admin.dtd.label.label,Label,Label,,"'admin.dtd.label.label':'Label',",Label,Label
en,admin.dtd.label.link_type,Link Type,Link Type,,"'admin.dtd.label.link_type':'Link Type',",Link Type,Link Type
en,admin.dtd.label.link.action_button,Action Button,Action Button,,"'admin.dtd.label.link.action_button':'Action Button',",Action Button,Action Button
en,admin.dtd.label.link.is_header,Is Header,Is Header,,"'admin.dtd.label.link.is_header':'Is Header',",Is Header,Is Header
en,admin.dtd.label.link.priority,Priority,Priority,,"'admin.dtd.label.link.priority':'Priority',",Priority,Priority
en,admin.dtd.label.link.request,Request,Request,,"'admin.dtd.label.link.request':'Request',",Request,Request
en,admin.dtd.label.link.status,Status,Status,,"'admin.dtd.label.link.status':'Status',",Status,Status
en,admin.dtd.label.link.text,Text,Text,,"'admin.dtd.label.link.text':'Text',",Text,Text
en,admin.dtd.label.links,Links,Links,,"'admin.dtd.label.links':'Links',",Links,Links
en,admin.dtd.label.note,Note,Note,,"'admin.dtd.label.note':'Note',",Note,Note
en,admin.dtd.label.note_type,Note Type,Note Type,,"'admin.dtd.label.note_type':'Note Type',",Note Type,Note Type
en,admin.dtd.label.option_text,Option Text,Option Text,,"'admin.dtd.label.option_text':'Option Text',",Option Text,Option Text
en,admin.dtd.label.options,Options,Options,,"'admin.dtd.label.options':'Options',",Options,Options
en,admin.dtd.label.prompt,Prompt,Prompt,,"'admin.dtd.label.prompt':'Prompt',",Prompt,Prompt
en,admin.dtd.label.required,Required,Required,,"'admin.dtd.label.required':'Required',",Required,Required
en,admin.dtd.link_type.buttons,Button,Button,,"'admin.dtd.link_type.buttons':'Button',",Button,Button
en,admin.dtd.link_type.links,List,List,,"'admin.dtd.link_type.links':'List',",List,List
en,admin.dtd.link.add,Add Link,Add Link,,"'admin.dtd.link.add':'Add Link',",Add Link,Add Link
en,admin.dtd.list,List,List,,"'admin.dtd.list':'List',",List,List
en,admin.dtd.new,New,New,,"'admin.dtd.new':'New',",New,New
en,admin.dtd.note_type.danger,Danger,Danger,,"'admin.dtd.note_type.danger':'Danger',",Danger,Danger
en,admin.dtd.note_type.info,Info,Info,,"'admin.dtd.note_type.info':'Info',",Info,Info
en,admin.dtd.note_type.success,Success,Success,,"'admin.dtd.note_type.success':'Success',",Success,Success
en,admin.dtd.note_type.warning,Warning,Warning,,"'admin.dtd.note_type.warning':'Warning',",Warning,Warning
en,admin.dtd.one,Decision Tree,Decision Tree,,"'admin.dtd.one':'Decision Tree',",Decision Tree,Decision Tree
en,admin.dtd.option.add,Add Option,Add Option,,"'admin.dtd.option.add':'Add Option',",Add Option,Add Option
en,admin.dtd.other,Decision Tree,Decision Tree,,"'admin.dtd.other':'Decision Tree',",Decision Tree,Decision Tree
en,admin.dtd.preview,Preview,Preview,,"'admin.dtd.preview':'Preview',",Preview,Preview
en,admin.dtd.search,Search Definitions,Search Definitions,,"'admin.dtd.search':'Search Definitions',",Search Definitions,Search Definitions
en,admin.dtd.title.display,Display,Display,,"'admin.dtd.title.display':'Display',",Display,Display
en,admin.dtd.title.fields,Fields,Fields,,"'admin.dtd.title.fields':'Fields',",Fields,Fields
en,admin.dtd.title.navigation,Navigation,Navigation,,"'admin.dtd.title.navigation':'Navigation',",Navigation,Navigation
en,admin.email.add,Add Email,Add Email,,"'admin.email.add':'Add Email',",Add Email,Add Email
en,admin.emailtype.location,Location,Location,,"'admin.emailtype.location':'Location',",Work,Work
en,admin.emailtype.personal,Personal,Personal,,"'admin.emailtype.personal':'Personal',",Personal,Personal
en,admin.emailtype.sms,SMS,SMS,,"'admin.emailtype.sms':'SMS',",Work,Work
en,admin.emailtype.work,Work,Work,,"'admin.emailtype.work':'Work',",Work,Work
en,admin.general.one,Tenant,Tenant,,"'admin.general.one':'Tenant',",Tenant,Tenant
en,admin.general.other,Tenants,Tenants,,"'admin.general.other':'Tenants',",Tenants,Tenants
en,admin.invoice.draft,Draft,Draft,,"'admin.invoice.draft':'Draft',",Draft,Draft
en,admin.invoice.new,New,New,,"'admin.invoice.new':'New',",New,New
en,admin.invoice.select_assign.all,All,All,,"'admin.invoice.select_assign.all':'All',",All,All
en,admin.invoice.select_assign.managers,Managers,Managers,,"'admin.invoice.select_assign.managers':'Managers',",Managers,Managers
en,admin.locale.en,English,English,,"'admin.locale.en':'English',",English,English
en,admin.locale.default,Default: Browser Settings,Default: Browser Settings,,"'admin.locale.default':'Default: Browser Settings',",Default: Browser Settings,Default: Browser Settings
en,admin.locale.english,English,English,,"'admin.locale.english':'English',",English,English
en,admin.locale.es,Spanish,Spanish,,"'admin.locale.es':'Spanish',",Spanish,Spanish
en,admin.locale.fr,French,French,,"'admin.locale.fr':'French',",French,French
en,admin.locale.ja,Japanese,Japanese,,"'admin.locale.ja':'Japanese',",Japanese,Japanese
en,admin.locale.spanish,Spanish,Spanish,,"'admin.locale.spanish':'Spanish',",Spanish,Spanish
en,admin.locale.zh-cn,Chinese,Chinese,,"'admin.locale.zh-cn':'Chinese',",Chinese,Chinese
en,admin.location.label.address.one,Address,Address,,"'admin.location.label.address.one':'Address',",Address,Address
en,admin.location.label.address.other,Addresses,Addresses,,"'admin.location.label.address.other':'Addresses',",Addresses,Addresses
en,admin.location.label.children-name,Child Locations,Child Locations,,"'admin.location.label.children-name':'Child Locations',",Child Locations,Child Locations
en,admin.location.label.contact,Contact,Contact,,"'admin.location.label.contact':'Contact',",Contact,Contact
en,admin.location.label.email.one,Email,Email,,"'admin.location.label.email.one':'Email',",Email,Email
en,admin.location.label.email.other,Email,Email,,"'admin.location.label.email.other':'Email',",Email,Email
en,admin.location.label.general,General,General,,"'admin.location.label.general':'General',",General,General
en,admin.location.label.location_level,Location Level,Location Level,,"'admin.location.label.location_level':'Location Level',",Location Level,Location Level
en,admin.location.label.name,Name,Name,,"'admin.location.label.name':'Name',",Name,Name
en,admin.location.label.number,Number,Number,,"'admin.location.label.number':'Number',",Number,Number
en,admin.location.label.parents-name,Parent Locations,Parent Locations,,"'admin.location.label.parents-name':'Parent Locations',",Parent Locations,Parent Locations
en,admin.location.label.phone_number.one,Phone Number,Phone Number,,"'admin.location.label.phone_number.one':'Phone Number',",Phone Number,Phone Number
en,admin.location.label.phone_number.other,Phone Numbers,Phone Numbers,,"'admin.location.label.phone_number.other':'Phone Numbers',",Phone Numbers,Phone Numbers
en,admin.location.label.status-name,Status,Status,,"'admin.location.label.status-name':'Status',",Status,Status
en,admin.location.new,New Location,New Location,,"'admin.location.new':'New Location',",New Location,New Location
en,admin.location.one,Location,Location,,"'admin.location.one':'Location',",Location,Location
en,admin.location.other,Locations,Locations,,"'admin.location.other':'Locations',",Locations,Locations
en,admin.location.search,Search Locations,Search Locations,,"'admin.location.search':'Search Locations',",Search Locations,Search Locations
en,admin.location.section.contact,Contact,Contact,,"'admin.location.section.contact':'Contact',",Contact,Contact
en,admin.location.section.details,Details,Details,,"'admin.location.section.details':'Details',",Details,Details
en,admin.location.section.organization,Organizations,Organizations,,"'admin.location.section.organization':'Organizations',",Organizations,Organizations
en,admin.location.status.closed,Closed,Closed,,"'admin.location.status.closed':'Closed',",Closed,Closed
en,admin.location.status.future,Future,Future,,"'admin.location.status.future':'Future',",Future,Future
en,admin.location.status.open,Open,Open,,"'admin.location.status.open':'Open',",Open,Open
en,admin.locationlevel.company,Company,Company,,"'admin.locationlevel.company':'Company',",Company,Company
en,admin.locationlevel.department,Department,Department,,"'admin.locationlevel.department':'Department',",Department,Department
en,admin.locationlevel.district,District,District,,"'admin.locationlevel.district':'District',",District,District
en,admin.locationlevel.fmd,Facility Management District,Facility Management District,,"'admin.locationlevel.fmd':'Facility Management District',",Facility Management District,Facility Management District
en,admin.locationlevel.fmu,Facility Management Region,Facility Management Region,,"'admin.locationlevel.fmu':'Facility Management Region',",Facility Management Region,Facility Management Region
en,admin.locationlevel.label.childOrg,Child Location Level(s),Child Location Level(s),,"'admin.locationlevel.label.childOrg':'Child Location Level(s)',",Child Location Level(s),Child Location Level(s)
en,admin.locationlevel.label.general,General,General,,"'admin.locationlevel.label.general':'General',",General,General
en,admin.locationlevel.label.name,Name,Name,,"'admin.locationlevel.label.name':'Name',",Name,Name
en,admin.locationlevel.new,New Location Level,New Location Level,,"'admin.locationlevel.new':'New Location Level',",New Location Level,New Location Level
en,admin.locationlevel.one,Location Level,Location Level,,"'admin.locationlevel.one':'Location Level',",Location Level,Location Level
en,admin.locationlevel.other,Location Levels,Location Levels,,"'admin.locationlevel.other':'Location Levels',",Location Levels,Location Levels
en,admin.locationlevel.region,Region,Region,,"'admin.locationlevel.region':'Region',",Region,Region
en,admin.locationlevel.search,Search Location Levels,Search Location Levels,,"'admin.locationlevel.search':'Search Location Levels',",Search Location Levels,Search Location Levels
en,admin.locationlevel.section.children,Children,Children,,"'admin.locationlevel.section.children':'Children',",Children,Children
en,admin.locationlevel.section.details,Details,Details,,"'admin.locationlevel.section.details':'Details',",Details,Details
en,admin.locationlevel.store,Store,Store,,"'admin.locationlevel.store':'Store',",Store,Store
en,admin.notification.one,Notification Profile,Notification Profile,,"'admin.notification.one':'Notification Profile',",Notification Profile,Notification Profile
en,admin.notification.other,Notification Profiles,Notification Profiles,,"'admin.notification.other':'Notification Profiles',",Notification Profiles,Notification Profiles
en,admin.person.label.add_profile_picture,Add Photo,Add Photo,,"'admin.person.label.add_profile_picture':'Add Photo',",Add Photo,Add Photo
en,admin.person.label.address,Address,Address,,"'admin.person.label.address':'Address',",Address,Address
en,admin.person.label.auth_amount,Auth. Amount,Auth. Amount,,"'admin.person.label.auth_amount':'Auth. Amount',",Auth. Amount,Auth. Amount
en,admin.person.label.change_password,Change,Change,,"'admin.person.label.change_password':'Change',",Change,Change
en,admin.person.label.change_profile_picture,Change,Change,,"'admin.person.label.change_profile_picture':'Change',",Change,Change
en,admin.person.label.contact,Contact,Contact,,"'admin.person.label.contact':'Contact',",Contact,Contact
en,admin.person.label.credentials,Credentials,Credentials,,"'admin.person.label.credentials':'Credentials',",Credentials,Credentials
en,admin.person.label.email,Email,Email,,"'admin.person.label.email':'Email',",Email,Email
en,admin.person.label.employee_id,Employee No.,Employee No.,,"'admin.person.label.employee_id':'Employee No.',",Employee No.,Employee No.
en,admin.person.label.first_name,First Name,First Name,,"'admin.person.label.first_name':'First Name',",First Name,First Name
